,training_loss,testing_loss
739,0.323909,0.3444611
740,0.32389832,0.34445158
741,0.32389036,0.34444377
742,0.3238776,0.34443823
743,0.32387823,0.34443048
744,0.32387024,0.34442064
745,0.32384837,0.3444119
746,0.32384858,0.34440243
747,0.3238506,0.344393
748,0.32384148,0.34438327
749,0.32383722,0.34437966
750,0.32381624,0.3443682
751,0.3238526,0.34435853
752,0.3238121,0.34435567
753,0.32381174,0.34434506
754,0.3237884,0.34433293
755,0.3238123,0.34432533
756,0.32376927,0.34431648
757,0.32377502,0.34431136
758,0.32372528,0.34430194
759,0.32376847,0.3442958
760,0.32375616,0.34428513
761,0.3237287,0.34427762
762,0.32375562,0.34427017
763,0.32374114,0.34425926
764,0.3237113,0.34424812
765,0.32373056,0.3442442
766,0.32374147,0.3442355
767,0.32373124,0.3442265
768,0.3236985,0.34422335
769,0.32375193,0.3442115
770,0.32368562,0.34420064
771,0.3237069,0.34419712
772,0.32366136,0.34418288
773,0.3237188,0.34417784
774,0.32368162,0.34416795
775,0.3236769,0.3441643
776,0.32370743,0.3441546
777,0.32368553,0.34414673
778,0.32365385,0.34413671
779,0.3236689,0.3441255
780,0.32368308,0.34412038
781,0.32366842,0.344113
782,0.32364756,0.3441016
783,0.32366213,0.34409717
784,0.32363328,0.34408808
785,0.32365435,0.3440816
786,0.32363605,0.3440694
787,0.32363647,0.3440642
788,0.32364553,0.34405273
789,0.32362765,0.34404522
790,0.32362717,0.3440398
791,0.32361066,0.3440297
792,0.3236014,0.344023
793,0.32363373,0.34401575
794,0.32361114,0.34400293
795,0.32359824,0.34399566
796,0.32359847,0.34398666
797,0.32357287,0.34398103
798,0.323598,0.34397244
799,0.3235839,0.3439615
800,0.32358432,0.34395602
801,0.32357985,0.3439506
802,0.32354584,0.34393904
803,0.32354635,0.34393063
804,0.32354563,0.34392777
805,0.32356486,0.3439232
806,0.32352996,0.34390804
807,0.32354322,0.34390396
808,0.32352033,0.34389558
809,0.3235169,0.3438892
810,0.3234682,0.34387916
811,0.32349595,0.34387156
812,0.32350832,0.34386486
813,0.32350898,0.34385282
814,0.32346433,0.34384957
815,0.32347092,0.3438399
816,0.32345462,0.34382996
817,0.32344365,0.3438267
818,0.3234656,0.3438198
819,0.32342398,0.3438072
820,0.32345062,0.34380427
821,0.32343847,0.343795
822,0.32340962,0.34378523
823,0.3234338,0.3437796
824,0.32343197,0.34376842
825,0.32340685,0.34376344
826,0.32342476,0.34375197
827,0.32339716,0.34375125
828,0.32340005,0.34373873
829,0.32338285,0.34373257
830,0.32337505,0.34372488
831,0.32338145,0.3437143
