,training_loss,testing_loss,learning_rate
631,0.010571674,0.012059999,0.001
632,0.009968176,0.011354134,0.001
633,0.010073029,0.011184822,0.001
634,0.011657184,0.012533919,0.001
635,0.014801434,0.0155455405,0.001
636,0.01294823,0.013827442,0.001
637,0.009891725,0.011117814,0.001
638,0.010023186,0.011404711,0.001
639,0.00983033,0.011171223,0.001
640,0.009861271,0.011027083,0.001
641,0.011026618,0.011977099,0.001
642,0.015051204,0.01579782,0.001
643,0.014303664,0.015142874,0.001
644,0.009931504,0.011218413,0.001
645,0.010406676,0.011852628,0.001
646,0.009779321,0.01110026,0.001
647,0.010179741,0.011261426,0.001
648,0.012156501,0.012998814,0.001
649,0.013968556,0.014745402,0.001
650,0.011596991,0.012573651,0.001
651,0.009812689,0.011004561,0.001
652,0.009742486,0.01100753,0.001
653,0.009663262,0.010956015,0.001
654,0.009681129,0.010899062,0.001
655,0.010221533,0.0112892315,0.001
656,0.0133207375,0.014149968,0.001
657,0.017732669,0.01853478,0.001
658,0.010361352,0.011830653,0.001
659,0.011605307,0.013093199,0.001
660,0.010087092,0.011233825,0.001
661,0.011970976,0.01284774,0.001
662,0.010899586,0.011803281,0.001
663,0.009786897,0.010949229,0.001
664,0.009595617,0.010820775,0.001
665,0.009612304,0.010796748,0.001
666,0.010281464,0.011326425,0.001
667,0.012927457,0.013757159,0.001
668,0.014833827,0.015610461,0.001
669,0.010206797,0.011383678,0.001
670,0.01010099,0.01157374,0.001
671,0.009733639,0.011140774,0.001
672,0.009679388,0.010890121,0.001
673,0.011034592,0.01198466,0.001
674,0.01391996,0.014663,0.001
675,0.012421915,0.013306602,0.001
676,0.009714794,0.010935873,0.001
677,0.00961602,0.0109334765,0.001
678,0.009514059,0.010837272,0.001
679,0.009553608,0.010788275,0.001
680,0.0103960335,0.011430405,0.001
681,0.013810199,0.014590404,0.001
682,0.01423604,0.015069761,0.001
683,0.010085949,0.011358064,0.001
684,0.00992962,0.01135093,0.001
685,0.009566623,0.010926215,0.001
686,0.0097777285,0.010977271,0.001
687,0.011605109,0.012533756,0.001
688,0.014664623,0.0153985955,0.001
689,0.011326067,0.012345028,0.001
690,0.009689163,0.0110914055,0.001
691,0.009697792,0.011061188,0.001
692,0.0094588855,0.010729968,0.001
693,0.0100335,0.01115261,0.001
694,0.012094923,0.0129783815,0.001
695,0.014108391,0.014877996,0.001
696,0.011020585,0.012090199,0.001
697,0.009563093,0.010944381,0.001
698,0.009540077,0.010897434,0.001
699,0.009391567,0.010687454,0.001
700,0.009674478,0.010843434,0.001
701,0.011382301,0.012321532,0.001
702,0.014906177,0.01567246,0.001
703,0.011805289,0.012827616,0.001
704,0.009857365,0.011303794,0.001
705,0.0095606,0.010894611,0.001
706,0.009541818,0.010769874,0.001
707,0.009893546,0.011014098,0.001
708,0.011205055,0.012175254,0.001
709,0.013634231,0.01442361,0.001
710,0.011986642,0.012921085,0.001
711,0.009907498,0.011186586,0.001
712,0.0093271015,0.010676307,0.001
713,0.009401738,0.010680831,0.001
714,0.009368092,0.010597055,0.001
715,0.009776198,0.010916823,0.001
716,0.011813214,0.012737987,0.001
717,0.015437879,0.016192846,0.001
718,0.011703236,0.0128167,0.001
719,0.0099767335,0.011484278,0.001
720,0.009656647,0.010938354,0.001
721,0.009537275,0.010722306,0.001
722,0.009863166,0.011000835,0.001
723,0.010629198,0.011654939,0.001
724,0.012457375,0.013292429,0.001
725,0.013117976,0.013947849,0.001
726,0.011037804,0.012126373,0.001
727,0.009534635,0.010820633,0.001
728,0.009273785,0.010553624,0.001
729,0.009241895,0.010515732,0.001
730,0.00918657,0.010478663,0.001
731,0.009304321,0.010553908,0.001
732,0.01036191,0.0114282835,0.001
733,0.014709841,0.015514716,0.001
734,0.013709743,0.01463483,0.001
735,0.010805436,0.012251933,0.001
736,0.009442097,0.010758113,0.001
737,0.009481927,0.010737602,0.001
738,0.009403957,0.010654333,0.001
739,0.009839534,0.010974374,0.001
740,0.011036091,0.01198491,0.001
741,0.013217645,0.014071515,0.001
742,0.012764232,0.0137255695,0.001
743,0.010077602,0.0112435855,0.001
744,0.009192149,0.010473138,0.001
745,0.009112296,0.01045506,0.001
746,0.009089471,0.010471243,0.001
747,0.009056652,0.010407501,0.001
748,0.0091949655,0.010456728,0.001
749,0.010547415,0.011587232,0.001
750,0.014920369,0.01573079,0.001
751,0.013933004,0.014875982,0.001
752,0.0098751765,0.011285951,0.001
753,0.00966055,0.011074256,0.001
754,0.0092805885,0.01069171,0.001
755,0.009180919,0.010554524,0.001
756,0.009300831,0.0105027445,0.001
757,0.010289089,0.011307408,0.001
758,0.013518093,0.014329186,0.001
759,0.013627504,0.014520529,0.001
760,0.009950356,0.01118436,0.001
761,0.009192117,0.010553712,0.001
762,0.009118737,0.010467518,0.001
763,0.009050479,0.010365343,0.001
764,0.009403958,0.010571998,0.001
765,0.010568148,0.011565638,0.001
766,0.013653948,0.014468495,0.001
767,0.012750984,0.013668356,0.001
768,0.00981854,0.011098485,0.001
