,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
229,0.055087563,0.055517666,102.80271768569946,103.22620868682861,0.001
230,0.05504744,0.055457514,101.85574293136597,103.30355167388916,0.001
231,0.0553566,0.055727977,100.8895993232727,101.58653259277344,0.001
232,0.055429034,0.05581618,99.65282678604126,100.69361925125122,0.001
233,0.055043843,0.055403735,100.50323009490967,101.37976408004761,0.001
234,0.055373613,0.055701014,99.47965741157532,100.02377033233643,0.001
235,0.055815082,0.05616302,98.56809377670288,98.69949221611023,0.001
236,0.055887017,0.056264874,98.29753041267395,98.61440658569336,0.001
237,0.05584127,0.056214713,97.84129858016968,98.85579943656921,0.001
238,0.05626082,0.0565527,96.57551050186157,96.89273238182068,0.001
239,0.05556163,0.055900045,97.54064679145813,99.10721778869629,0.001
240,0.055674363,0.055966448,97.801673412323,97.99383878707886,0.001
241,0.05585444,0.05612062,96.45268321037292,97.4027693271637,0.001
242,0.05609878,0.056307323,96.82671427726746,97.42366671562195,0.001
243,0.05477898,0.055138063,97.81421422958374,99.63541030883789,0.001
244,0.0544195,0.05483245,100.28257369995117,102.45625972747803,0.001
245,0.054671936,0.055141475,100.89391469955444,102.81500816345215,0.001
246,0.05433298,0.054759797,100.54396390914917,102.86154747009277,0.001
247,0.054284744,0.054650404,99.71910119056702,101.21909379959106,0.001
248,0.054101113,0.05445469,99.44320917129517,100.80982446670532,0.001
249,0.05434678,0.054666888,98.79904389381409,99.07870888710022,0.001
