,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
221,0.09167688,0.09243578,131.67493343353271,143.2514190673828,0.001
222,0.09150822,0.09230518,131.56919479370117,143.32538843154907,0.001
223,0.09124548,0.0920866,131.6362500190735,143.54887008666992,0.001
224,0.09118722,0.09202019,131.45263195037842,143.44298839569092,0.001
225,0.09097602,0.09184225,131.50525093078613,143.7660574913025,0.001
226,0.09089939,0.091768675,131.07821941375732,143.41140985488892,0.001
227,0.090921775,0.09179184,130.59263229370117,143.04190874099731,0.001
228,0.09077023,0.09162876,130.7064652442932,143.0818796157837,0.001
229,0.09077631,0.09163942,130.0876021385193,142.6351547241211,0.001
230,0.090754926,0.09158456,129.9161672592163,142.41191148757935,0.001
231,0.0907895,0.09163836,129.3729305267334,141.93140268325806,0.001
232,0.09101208,0.09183299,128.42544317245483,140.61819314956665,0.001
233,0.0911242,0.09192177,128.09935808181763,140.15836715698242,0.001
234,0.09087901,0.09167723,128.33346128463745,140.3791069984436,0.001
235,0.090841375,0.09162997,127.98565626144409,139.9604320526123,0.001
236,0.09082198,0.09160041,127.57794857025146,139.5997166633606,0.001
237,0.090453126,0.09125944,127.96708345413208,140.12514352798462,0.001
238,0.09041328,0.09124163,127.79589891433716,139.70102071762085,0.001
239,0.09052133,0.09134362,127.27693319320679,138.94927501678467,0.001
240,0.090490334,0.09127274,127.14428901672363,138.55265378952026,0.001
241,0.090234004,0.09105934,127.40744352340698,138.77012729644775,0.001
242,0.09022436,0.09103783,127.1365761756897,138.4501576423645,0.001
243,0.08999619,0.09083231,127.08730697631836,138.67104053497314,0.001
244,0.09008441,0.09089557,126.65725946426392,138.02624940872192,0.001
245,0.08988709,0.09071889,126.840078830719,138.25877904891968,0.001
246,0.08976917,0.090602204,126.67924165725708,138.04402351379395,0.001
247,0.08988289,0.09068623,126.39217376708984,137.269127368927,0.001
248,0.08977537,0.09058911,126.4191746711731,137.34240531921387,0.001
249,0.08991491,0.09071859,125.42746067047119,136.24898195266724,0.001
