Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 1.1e-06, 0.8, 0.44, 1, 1.65148e-06, -5.00182e-05
5, 1.1e-06, 0.8, 0.52, 0, 1.30618e-06, 0.0634657
5, 1.1e-06, 0.8, 0.52, 1, 1.62704e-06, -4.46365e-05
5, 1.1e-06, 0.8, 0.6, 0, 1.31241e-06, 0.0801119
5, 1.1e-06, 0.8, 0.6, 1, 1.64162e-06, -3.16523e-05
5, 1.3e-06, 0.4, 0.2, 0, 1.3e-06, 0.0125751
5, 1.3e-06, 0.4, 0.2, 1, 1.7e-06, -0.000694436
5, 1.3e-06, 0.4, 0.28, 0, 1.3e-06, 0.0274568
5, 1.3e-06, 0.4, 0.28, 1, 1.7e-06, -0.000527083
5, 1.3e-06, 0.4, 0.36, 0, 1.30463e-06, 0.0500197
5, 1.3e-06, 0.4, 0.36, 1, 1.7e-06, -0.000314771
5, 1.3e-06, 0.4, 0.44, 0, 1.30618e-06, 0.0301885
5, 1.3e-06, 0.4, 0.44, 1, 1.7e-06, -0.000246033
5, 1.3e-06, 0.4, 0.52, 0, 1.31241e-06, 0.0270349
5, 1.3e-06, 0.4, 0.52, 1, 1.30773e-06, -0.000984312
5, 1.3e-06, 0.4, 0.6, 0, 1.39042e-06, 0.0387333
5, 1.3e-06, 0.4, 0.6, 1, 1.36116e-06, -0.000211897
5, 1.3e-06, 0.48, 0.2, 0, 1.33472e-06, 0.00729853
5, 1.3e-06, 0.48, 0.2, 1, 1.7e-06, -0.00107122
5, 1.3e-06, 0.48, 0.28, 0, 1.3396e-06, 0.0110453
5, 1.3e-06, 0.48, 0.28, 1, 1.7e-06, -0.000466138
5, 1.3e-06, 0.48, 0.36, 0, 1.34616e-06, 0.0283534
5, 1.3e-06, 0.48, 0.36, 1, 1.7e-06, -0.000384519
5, 1.3e-06, 0.48, 0.44, 0, 1.35612e-06, 0.0619241
5, 1.3e-06, 0.48, 0.44, 1, 1.7e-06, -0.000474464
5, 1.3e-06, 0.48, 0.52, 0, 1.37477e-06, 0.0750409
5, 1.3e-06, 0.48, 0.52, 1, 1.7e-06, -0.00136578
5, 1.3e-06, 0.48, 0.6, 0, 1.39218e-06, 0.0915737
5, 1.3e-06, 0.48, 0.6, 1, 1.3e-06, -0.000991057
5, 1.3e-06, 0.56, 0.2, 0, 1.43769e-06, 0.00332078
5, 1.3e-06, 0.56, 0.2, 1, 1.7e-06, -0.00157045
5, 1.3e-06, 0.56, 0.28, 0, 1.43207e-06, 0.00281694
5, 1.3e-06, 0.56, 0.28, 1, 1.66147e-06, -0.00244887
5, 1.3e-06, 0.56, 0.36, 0, 1.43021e-06, 0.00228635
5, 1.3e-06, 0.56, 0.36, 1, 1.65896e-06, -0.00250992
5, 1.3e-06, 0.56, 0.44, 0, 1.36284e-06, 0.003859
5, 1.3e-06, 0.56, 0.44, 1, 1.64654e-06, -0.00244256
5, 1.3e-06, 0.56, 0.52, 0, 1.37649e-06, 0.018571
5, 1.3e-06, 0.56, 0.52, 1, 1.3e-06, -0.00221293
5, 1.3e-06, 0.56, 0.6, 0, 1.39218e-06, 0.0490708
5, 1.3e-06, 0.56, 0.6, 1, 1.30773e-06, -0.00186325
5, 1.3e-06, 0.64, 0.2, 0, 1.35445e-06, 0.0234902
5, 1.3e-06, 0.64, 0.2, 1, 1.7e-06, -0.0033424
5, 1.3e-06, 0.64, 0.28, 0, 1.36116e-06, 0.0212769
5, 1.3e-06, 0.64, 0.28, 1, 1.66903e-06, -0.00239968
5, 1.3e-06, 0.64, 0.36, 0, 1.36793e-06, 0.017994
5, 1.3e-06, 0.64, 0.36, 1, 1.7e-06, -0.000748366
5, 1.3e-06, 0.64, 0.44, 0, 1.37822e-06, 0.0124518
5, 1.3e-06, 0.64, 0.44, 1, 1.7e-06, -0.000517721
5, 1.3e-06, 0.64, 0.52, 0, 1.39749e-06, 0.00573305
5, 1.3e-06, 0.64, 0.52, 1, 1.7e-06, -0.000493836
5, 1.3e-06, 0.64, 0.6, 0, 1.39749e-06, 0.00456061
5, 1.3e-06, 0.64, 0.6, 1, 1.7e-06, -0.000516559
5, 1.3e-06, 0.72, 0.2, 0, 1.38691e-06, 0.0573304
5, 1.3e-06, 0.72, 0.2, 1, 1.7e-06, -0.00290946
5, 1.3e-06, 0.72, 0.28, 0, 1.39042e-06, 0.0551537
5, 1.3e-06, 0.72, 0.28, 1, 1.63187e-06, -0.00488015
5, 1.3e-06, 0.72, 0.36, 0, 1.39395e-06, 0.0526494
5, 1.3e-06, 0.72, 0.36, 1, 1.64407e-06, -0.00295398
5, 1.3e-06, 0.72, 0.44, 0, 1.39927e-06, 0.0467962
5, 1.3e-06, 0.72, 0.44, 1, 1.66903e-06, -0.00143324
5, 1.3e-06, 0.72, 0.52, 0, 1.40284e-06, 0.0378666
5, 1.3e-06, 0.72, 0.52, 1, 1.68955e-06, -0.000709507
5, 1.3e-06, 0.72, 0.6, 0, 1.41004e-06, 0.0253102
5, 1.3e-06, 0.72, 0.6, 1, 1.7e-06, -0.000312102
5, 1.3e-06, 0.8, 0.2, 0, 1.41366e-06, 0.0431814
5, 1.3e-06, 0.8, 0.2, 1, 1.7e-06, -0.00326798
5, 1.3e-06, 0.8, 0.28, 0, 1.41548e-06, 0.04393
5, 1.3e-06, 0.8, 0.28, 1, 1.7e-06, -0.00453893
5, 1.3e-06, 0.8, 0.36, 0, 1.41731e-06, 0.0427375
5, 1.3e-06, 0.8, 0.36, 1, 1.30308e-06, -0.0056693
5, 1.3e-06, 0.8, 0.44, 0, 1.42097e-06, 0.0430745
5, 1.3e-06, 0.8, 0.44, 1, 1.44335e-06, -0.00585101
5, 1.3e-06, 0.8, 0.52, 0, 1.42465e-06, 0.0400179
5, 1.3e-06, 0.8, 0.52, 1, 1.3e-06, -0.00348136
5, 1.3e-06, 0.8, 0.6, 0, 1.42835e-06, 0.036527
5, 1.3e-06, 0.8, 0.6, 1, 1.3e-06, -0.00180868
