Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 7.85714e-07, 0.4, 0.542857, 1, 1.59683e-06, -6.28066e-05
5, 7.85714e-07, 0.4, 0.6, 0, 1.51123e-06, 0.033427
5, 7.85714e-07, 0.4, 0.6, 1, 1.44749e-06, -3.54601e-05
5, 7.85714e-07, 0.457143, 0.2, 0, 1.45416e-06, 0.224035
5, 7.85714e-07, 0.457143, 0.2, 1, 1.41126e-06, -0.000198139
5, 7.85714e-07, 0.457143, 0.257143, 0, 1.46089e-06, 0.250223
5, 7.85714e-07, 0.457143, 0.257143, 1, 1.45684e-06, -7.84762e-05
5, 7.85714e-07, 0.457143, 0.314286, 0, 1.46904e-06, 0.275666
5, 7.85714e-07, 0.457143, 0.314286, 1, 1.44352e-06, -4.68948e-05
5, 7.85714e-07, 0.457143, 0.371429, 0, 1.47868e-06, 0.302847
5, 7.85714e-07, 0.457143, 0.371429, 1, 1.44484e-06, -4.73722e-05
5, 7.85714e-07, 0.457143, 0.428571, 0, 1.48843e-06, 0.322227
5, 7.85714e-07, 0.457143, 0.428571, 1, 1.45149e-06, -5.71266e-05
5, 7.85714e-07, 0.457143, 0.485714, 0, 1.49975e-06, 0.325452
5, 7.85714e-07, 0.457143, 0.485714, 1, 1.4555e-06, -6.4441e-05
5, 7.85714e-07, 0.457143, 0.542857, 0, 1.50834e-06, 0.302566
5, 7.85714e-07, 0.457143, 0.542857, 1, 1.43957e-06, -4.90996e-05
5, 7.85714e-07, 0.457143, 0.6, 0, 1.51996e-06, 0.249085
5, 7.85714e-07, 0.457143, 0.6, 1, 1.65717e-06, -3.36254e-05
5, 7.85714e-07, 0.514286, 0.2, 0, 1.47041e-06, 0.221128
5, 7.85714e-07, 0.514286, 0.2, 1, 1.53623e-06, -0.000313075
5, 7.85714e-07, 0.514286, 0.257143, 0, 1.47729e-06, 0.248445
5, 7.85714e-07, 0.514286, 0.257143, 1, 1.42015e-06, -0.000103151
5, 7.85714e-07, 0.514286, 0.314286, 0, 1.48563e-06, 0.279428
5, 7.85714e-07, 0.514286, 0.314286, 1, 1.43957e-06, -4.86887e-05
5, 7.85714e-07, 0.514286, 0.371429, 0, 1.49407e-06, 0.311047
5, 7.85714e-07, 0.514286, 0.371429, 1, 1.43957e-06, -4.92868e-05
5, 7.85714e-07, 0.514286, 0.428571, 0, 1.50403e-06, 0.341566
5, 7.85714e-07, 0.514286, 0.428571, 1, 1.44484e-06, -3.04389e-05
5, 7.85714e-07, 0.514286, 0.485714, 0, 1.51413e-06, 0.372473
5, 7.85714e-07, 0.514286, 0.485714, 1, 1.45015e-06, -4.07368e-05
